score,title,rating,reviews,neg_total,neg_comm,neg_wait,neg_forgot,address,phone,website,telegram,whatsapp,yandex_url,score_details
42,Fix4car,4.5,1072,50,8,8,0,"Софийская ул., 8к1Г11",+7 (812) 666-14-44; +7 (812) 629-55-53,https://fix4car.ru/,https://t.me/+79319844041,https://wa.me/79319844041?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/107861061156/,TG+WA +2 | rating 4.5 +3 | site +1 | comm/wait 16x +32 | price/noinfo 4x +4
41,Ремзона,5,1181,100,1,12,1,"Софийская ул., 63С",+7 (812) 240-47-68 (Мастер-приёмщик),http://kupchino-auto.ru/,https://t.me/+79214134726,https://wa.me/79214134726?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/46385745400/,TG+WA +2 | site +1 | comm/wait 13x +26 | forgot 1x +2 | price/noinfo 10x +10
38,Отвага,4.699999809265137,445,78,1,8,2,"просп. Энгельса, 163, стр. 3",+7 (812) 319-82-56,https://otvagaspb.ru/,https://t.me/otvagaspb,https://wa.me/78129863007?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/170295681643/,TG+WA +2 | rating 4.7 +3 | site +1 | revs 445 +2 | comm/wait 9x +18 | forgot 2x +4 | price/noinfo 8x +8
36,"Аларм Моторс, Киа",4.400000095367432,1055,100,4,5,4,"ул. Савушкина, 108",+7 (812) 416-95-44,https://service.i-am-kia.ru/?utm_campaign=kia_lahta_service&utm_medium=maps&utm_source=yandex_map,https://t.me/alarmmotors_spb,,https://yandex.ru/maps/org/1493870622/,rating 4.4 +3 | site +1 | comm/wait 9x +18 | forgot 4x +8 | price/noinfo 6x +6
34,Дилижанс,5,685,86,2,5,5,"Санкт-Петербург, просп. Елизарова, 34В",+7 (812) 331-20-21 (Диспетчер),http://dilauto.ru/,https://t.me/diligans_sto,https://wa.me/79818098039?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/1252030227/,TG+WA +2 | site +1 | comm/wait 7x +14 | forgot 5x +10 | price/noinfo 7x +7
33,Орбита,4.599999904632568,999,50,3,7,2,"Санкт-Петербург, ул. Маршала Говорова, 29Л","+7 (812) 454-66-03 (улица Маршала Говорова, 29Л); +7 (812) 454-04-06; +7 (812) 454-60-60",https://sto-orbita.ru/?yclid=2203072977697767423&utm_campaign=Remont_Suzuki_Rsya&utm_medium=cpc&utm_source=yandex&utm_term=---autotargeting,https://t.me/Orbita_ru_bot,https://wa.me/79119216361?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%E2%84%96D7828210058+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/37865915608/,TG+WA +2 | rating 4.6 +3 | site +1 | comm/wait 10x +20 | forgot 2x +4 | price/noinfo 3x +3
31,GTI-Motors,4.699999809265137,573,58,1,3,6,"Мебельный пр., 10Б, Санкт-Петербург",+7 (958) 578-00-47 (Автосервис),https://gtimotors.ru/,https://t.me/Semenych9,https://wa.me/79315358258?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/1382987641/,TG+WA +2 | rating 4.7 +3 | site +1 | comm/wait 4x +8 | forgot 6x +12 | price/noinfo 5x +5
31,Автосервис Vag,4.5,255,39,1,6,1,"Софийская ул., 8, корп. 1, стр. 1",+7 (812) 245-64-00 (Автосервис Vag),https://remont-denmark-auto.ru/,https://t.me/Remont_VAG_SPb,https://wa.me/79650288860?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5,https://yandex.ru/maps/org/130409167778/,TG+WA +2 | rating 4.5 +3 | site +1 | revs 255 +2 | comm/wait 7x +14 | forgot 1x +2 | price/noinfo 7x +7
31,ZetAuto,4.699999809265137,747,100,1,7,1,"Выборгское ш., 19, корп. 2",+7 (812) 214-33-83,https://zetauto.ru/?utm_source=yandex_maps,https://t.me/+79523555023,,https://yandex.ru/maps/org/201092025008/,rating 4.7 +3 | site +1 | comm/wait 8x +16 | forgot 1x +2 | price/noinfo 9x +9
30,"Нева-Автоком, Фольксваген",4.699999809265137,677,100,4,7,2,"Московский просп., 154",+7 (812) 363-36-78,https://vwspb.ru/,https://t.me/NevaAuto_bot,,https://yandex.ru/maps/org/3046919187/,rating 4.7 +3 | site +1 | comm/wait 11x +22 | forgot 2x +4
